EventName,Date,Time,Venue
Bomb Rush,13/03/2019,08:30 AM,A216
Circuit-e-Ishq,13/03/2019,09:30 AM,A217
Electro Musiciano,13/03/2019,11:00 AM,A214
Track Mania,13/03/2019,08:00 AM,South Quadrant
ELECTRO-SNOOPER,13/03/2019,08:00 AM,A219
Mad Scientist,13/03/2019,10:00 AM,A216
Chip-Patrons,13/03/2019,11:00 AM,A205
Python Bootcamp,13/03/2019,08:30 AM,LRUC
MasterWare,13/03/2019,01:30 PM,A201
Game of Codes,13/03/2019,03:00 PM,C301 and C303
Geek-Out-Loud,13/03/2019,04:30 PM,F106
Auto-Ignito,13/03/2019,08:00 AM,H201 and H202 and H205
Wizard Graphica,13/03/2019,09:00 AM,Auditorium
Contraption,13/03/2019,11:00 AM,H301 and H302
Mecha-Hunt,13/03/2019,01:30 PM,C203
Let's Sling it !,13/03/2019,03:00 PM,Workshop-Mechanical Parking
Eco-Arena,13/03/2019,08:00 AM,E204 AND E205-A
Designer's Market,13/03/2019,09:30 AM,E202 and E203
Roller Coaster,13/03/2019,01:00 PM,D201
SSB,13/03/2019,08:00 AM,A217
Potterhead,13/03/2019,09:00 AM,A201
Marvel Alliance,13/03/2019,10:00 AM,C316 and C318
Sherlocked!,13/03/2019,12:00 PM,C316 and C318
Roadies ,13/03/2019,03:00 PM,Front Lawn
BVM MUN,13/03/2019,08:00 AM,B304
Mann Ki Baat,13/03/2019,09:30 AM,C223 and C228
Crazy Cricket,13/03/2019,08:30 AM,Auditorium
SOTY(STUDENT OF THE YEAR),13/03/2019,09:30 AM,D201
Math-pi-Rates,13/03/2019,02:00 PM,A216 and A217
Treasure Hunt,13/03/2019,12:00 PM,D101
Counter Strike(CSGO),13/03/2019,01:00 PM,F Block Lab-8
PUBG Gaming Mobile,13/03/2019,11:00 AM,H302 and H303
Youth Parliament,13/03/2019,08:00 AM,C204
Bakers and Sellers,13/03/2019,11:00 AM,Front Lawn
Artes Elegantase,13/03/2019,08:00 AM,C320
BOLLY MIX BOLLY,13/03/2019,09:00 AM,A214
QUIZZITCH,13/03/2019,12:00 PM,Auditorium
Er.Delving,14/03/2019,12:00 PM,A224
WebiClan,14/03/2019,08:00 AM,A201
Dam it!,14/03/2019,08:00 AM,B/W Civil and Production
Valar Morghulis,14/03/2019,09:00 AM,C203 and C204 and C301
F.R.I.E.N.D.S,14/03/2019,10:00 AM,D101 and D201
Guru,14/03/2019,11:30 AM,D201
Takeshi's Castle,14/03/2019,09:00 AM,South Quadrant
Antakshari,14/03/2019,08:00 AM,Auditorium
S.P.E.N.T. Quiz,14/03/2019,09:00 AM,C301
Wizards of IOT,15/03/2019,08:00 AM,LRUC
